Name
Business Process Automation
Solution Architecture
Artificial Intelligence (AI)
finops
Cloud-Native Architecture
Strategic Partnerships
Financial Modeling
Pre-sales
Solution Selling
Management
ITIL
Virtualization
Account Management
Scripting
Cloud Computing
Integration
IT Strategy
Management Accounting
Corporate Governance
Consulting
Change Management
Cash Flow Forecasting
Legal Documents
Operational Planning
Business Strategy
IT Service Management
Penetration Testing
Business Analysis
Citrix
Windows Server
BMC Remedy
Amazon Web Services (AWS)
Remote Desktop
Amazon S3
AWS
Training Delivery
Software Consulting
Board of Directors
General Operations
VMware VTSP 4
VMware View
Amazon EC2
Board of Director experience
Foreign Exchange
Inside Sales
Negotiation
